blueduck_field_data.csv,,,,,,,,,,,,,,,
Eric Barefoot,,,,,,,,,,,,,,,
"July, 2015",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"This table is field data collected in the upper reaches of the Blue Duck Creek in the foothills of the Seaward Kaikoura Range, New Zealand.",,,,,,,,,,,,,,,
This data set was created by Eric Barefoot and Emily Beckham by hiking along streams and taking wetted stream width measurements every ~5 meters with a tape measure.,,,,,,,,,,,,,,,
This data was collected to determine the distribution of stream widths in headwater catchments.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
GPS waypoints were taken at nodes in the stream network.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
columns:,,,,,,,,,,,,,,,
stream_segment_ID,,,,,,,,,,,,,,,
direction,We either paced upstream or downstream,,,,,,,,,,,,,,
flowing_width,Raw width measurements taken in inches,,,,,,,,,,,,,,
percent_nonflow,"Estimated percentage of the streams that were not flowing due to sandbars, rocks, vegetation, or other material at the surface of the stream",,,,,,,,,,,,,,
code,attributes of stream or measurement ,,,,,,,,,,,,,,
,B,bushes,,,,,,,,,,,,,
,DM,divine measurement - width visually estimated (only done a few times in blue duck where ongaonga was too dense to measure),,,,,,,,,,,,,
,G,tall grass,,,,,,,,,,,,,
,MC,multiple channels seperated by vegetation,,,,,,,,,,,,,
,RF,width measured by laser range finder (in meters),,,,,,,,,,,,,
,SC,Stream covered by snow,,,,,,,,,,,,,
,M,Marshy ground with standing water,,,,,,,,,,,,,
,LT,width measured using a long tape measure - width in cm,,,,,,,,,,,,,
notes,misc notes,,,,,,,,,,,,,,
environment,where the stream is located,,,,,,,,,,,,,,
measurer_name,name of person pacing and taking width measurements,,,,,,,,,,,,,,
S7,Downstream,13,20,,,Forest,Emily,12-Jul-15,3,,726224.34,5315244.53,189.56,127104,-0.1231741661
S7,Downstream,24,,,,Forest,Emily,12-Jul-15,3,,726225.7,5315247.87,187.83,128000,-0.1231741661
S7,Downstream,84,70,MC,~2m knickpoint with big boulder separating two channels,Forest,Emily,12-Jul-15,3,,726227.12,5315250.47,187.83,128000,-0.1231741661
S7,Downstream,20,20,,,Forest,Emily,12-Jul-15,3,,726230.36,5315256.94,188.38,128000,-0.1231741661
S7,Downstream,50,40,,,Forest,Emily,12-Jul-15,3,,726230.05,5315259.75,188.38,128768,-0.1231741661
S7,Downstream,21,30,,S8 subsumed into S7 because there is no tributary splitting S7 and S8,Forest,Emily,12-Jul-15,3,,726235.55,5315263.2,186.94,128768,-0.1231741661
S7,Downstream,0,,,log jam,Forest,Emily,12-Jul-15,3,,726238.86,5315264.47,186.94,128768,-0.1231741661
S7,Downstream,0,,,,Forest,Emily,12-Jul-15,3,,726243.31,5315267.75,183.65,129152,-0.1231741661
S7,Downstream,19,,,small pool,Forest,Emily,12-Jul-15,3,,726245.01,5315271.45,183.57,129152,-0.1231741661
S7,Downstream,58,50,,,Forest,Emily,12-Jul-15,3,,726246.04,5315277.6,182.86,130304,-0.1231741661
S7,Downstream,35,50,,,Forest,Emily,12-Jul-15,3,,726249.84,5315280.46,179.95,130304,-0.1231741661
S7,Downstream,53,,,,Forest,Emily,12-Jul-15,3,,726251.89,5315283.84,179.95,130304,-0.1231741661
S7,Downstream,52,50,,,Forest,Emily,12-Jul-15,3,,726255.47,5315288.82,178.86,131712,-0.1231741661
S7,Downstream,10,,,"dry channel further away, looks to be a channel only occupied in high flow",Forest,Emily,12-Jul-15,3,,726257.75,5315291.49,176.61,131712,-0.1231741661
S7,Downstream,0,,,,Forest,Emily,12-Jul-15,3,,726260.7,5315294.09,175.37,131712,-0.1231741661
S7,Downstream,0,,,,Forest,Emily,12-Jul-15,3,,726265.71,5315297.87,174.86,132032,-0.1231741661
S7,Downstream,0,,,pool with seepage water escape,Forest,Emily,12-Jul-15,3,,726269.72,5315301.84,173.1,132032,-0.1231741661
S7,Downstream,10,,,,Forest,Emily,12-Jul-15,3,,726271.06,5315306.59,173.1,132096,-0.1231741661
S7,Downstream,15,,,,Forest,Emily,12-Jul-15,3,,726272.61,5315311.69,172.78,132096,-0.1231741661
S7,Downstream,57,60,MC,last measurement in island between two channels,Forest,Emily,12-Jul-15,3,445,726272.12,5315316.09,170.87,134016,-0.1231741661
S7,Downstream,44,,,,Forest,Emily,13-Jul-15,3,445,726274.36,5315321.14,170.87,135104,-0.1231741661
S7,Downstream,62,90,,,Forest,Emily,13-Jul-15,3,,726276.16,5315326.01,168.97,135104,-0.1231741661
S7,Downstream,22,,,,Forest,Emily,13-Jul-15,3,,726278.37,5315330.69,168.97,142848,-0.1231741661
S7,Downstream,23,,,riffle-pool sequence,Forest,Emily,13-Jul-15,3,,726277.28,5315335.63,167.12,142848,-0.1231741661
S7,Downstream,12,10,,,Forest,Emily,13-Jul-15,3,,726278.46,5315339.22,167.12,142848,-0.1231741661
